FSM,CoverageStrategy,ReductionStrategy,PrioritizationStrategy,SuiteSize,TotalSteps,PreReductionTotalSteps,ReductionRatio,ExecutionTimeSavings,StateCoverage,TransitionCoverage,MutationScore,KilledMutants,TotalMutants,APFD,GenerationTimeMs,MS_TransitionTargetMutation,MS_OutputMutation,MS_TransitionRemoval,MS_TransitionAddition,MS_InputMutation,MS_InitialStateMutation
Synthetic100FSM,StateCoverage,MutationScorePreserving,WeightedTransitionPrioritization,99,323,323,0.0000,0.0000,1.0000,0.2475,0.1182,4976,42099,0.8883,17597.64,0.1074,0.2475,0.2475,,0.2725,1.0000
Synthetic100FSM,TransitionCoverage,DuplicateRemoval,CoverageBasedPrioritization,400,1692,1692,0.0000,0.0000,1.0000,1.0000,0.2906,12234,42099,0.8539,25.87,0.2458,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionCoverage,DuplicateRemoval,WeightedTransitionPrioritization,400,1692,1692,0.0000,0.0000,1.0000,1.0000,0.2906,12234,42099,0.8539,32.71,0.2458,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,301,1369,1692,0.2475,0.1909,1.0000,1.0000,0.2906,12234,42099,0.8059,38.00,0.2458,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,301,1369,1692,0.2475,0.1909,1.0000,1.0000,0.2906,12234,42099,0.8059,42.66,0.2458,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionCoverage,SimilarityReduction,CoverageBasedPrioritization,151,669,1692,0.6225,0.6046,0.9800,0.6100,0.2416,10173,42099,0.8112,44.99,0.2153,0.6100,0.6100,,0.6800,1.0000
Synthetic100FSM,TransitionCoverage,SimilarityReduction,WeightedTransitionPrioritization,151,669,1692,0.6225,0.6046,0.9800,0.6100,0.2416,10173,42099,0.8063,42.74,0.2153,0.6100,0.6100,,0.6800,1.0000
Synthetic100FSM,TransitionCoverage,MutationScorePreserving,CoverageBasedPrioritization,400,1692,1692,0.0000,0.0000,1.0000,1.0000,0.2906,12234,42099,0.8643,22647.95,0.2458,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionCoverage,MutationScorePreserving,WeightedTransitionPrioritization,400,1692,1692,0.0000,0.0000,1.0000,1.0000,0.2906,12234,42099,0.8643,28710.50,0.2458,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionPairCoverage,DuplicateRemoval,CoverageBasedPrioritization,1410,7612,7612,0.0000,0.0000,1.0000,1.0000,0.9898,41669,42099,0.6777,436.48,0.9891,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionPairCoverage,DuplicateRemoval,WeightedTransitionPrioritization,1410,7612,7612,0.0000,0.0000,1.0000,1.0000,0.9898,41669,42099,0.7001,446.37,0.9891,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionPairCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,176,985,7612,0.8752,0.8706,1.0000,1.0000,0.5141,21642,42099,0.7254,160.52,0.4834,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionPairCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,176,985,7612,0.8752,0.8706,1.0000,1.0000,0.5141,21642,42099,0.7185,165.09,0.4834,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionPairCoverage,SimilarityReduction,CoverageBasedPrioritization,89,508,7612,0.9369,0.9333,0.9800,0.6300,0.3695,15557,42099,0.6948,164.70,0.3501,0.6300,0.6300,,0.6992,1.0000
Synthetic100FSM,TransitionPairCoverage,SimilarityReduction,WeightedTransitionPrioritization,89,508,7612,0.9369,0.9333,0.9800,0.6300,0.3695,15557,42099,0.6890,164.78,0.3501,0.6300,0.6300,,0.6992,1.0000
Synthetic100FSM,TransitionPairCoverage,MutationScorePreserving,CoverageBasedPrioritization,1317,7093,7612,0.0660,0.0682,1.0000,1.0000,0.9898,41669,42099,0.7250,38804.11,0.9891,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,TransitionPairCoverage,MutationScorePreserving,WeightedTransitionPrioritization,1317,7093,7612,0.0660,0.0682,1.0000,1.0000,0.9898,41669,42099,0.7329,40681.16,0.9891,1.0000,1.0000,,1.0000,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),DuplicateRemoval,CoverageBasedPrioritization,64,192,192,0.0000,0.0000,0.5800,0.2000,0.0601,2530,42099,0.7295,0.64,0.0493,0.2000,0.2000,,0.2000,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),DuplicateRemoval,WeightedTransitionPrioritization,64,192,192,0.0000,0.0000,0.5800,0.2000,0.0601,2530,42099,0.7299,0.81,0.0493,0.2000,0.2000,,0.2000,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,CoverageBasedPrioritization,61,183,192,0.0469,0.0469,0.5800,0.2000,0.0595,2503,42099,0.7241,1.10,0.0486,0.2000,0.2000,,0.2000,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,WeightedTransitionPrioritization,61,183,192,0.0469,0.0469,0.5800,0.2000,0.0595,2503,42099,0.7244,1.20,0.0486,0.2000,0.2000,,0.2000,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),SimilarityReduction,CoverageBasedPrioritization,56,168,192,0.1250,0.1250,0.5700,0.1875,0.0579,2437,42099,0.7251,1.86,0.0476,0.1875,0.1875,,0.1900,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),SimilarityReduction,WeightedTransitionPrioritization,56,168,192,0.1250,0.1250,0.5700,0.1875,0.0579,2437,42099,0.7253,2.07,0.0476,0.1875,0.1875,,0.1900,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),MutationScorePreserving,CoverageBasedPrioritization,64,192,192,0.0000,0.0000,0.5800,0.2000,0.0601,2530,42099,0.7945,12401.25,0.0493,0.2000,0.2000,,0.2000,1.0000
Synthetic100FSM,SequenceCoverage(maxLen=3),MutationScorePreserving,WeightedTransitionPrioritization,64,192,192,0.0000,0.0000,0.5800,0.2000,0.0601,2530,42099,0.7772,13119.27,0.0493,0.2000,0.2000,,0.2000,1.0000
TlsClientFSM,StateCoverage,DuplicateRemoval,CoverageBasedPrioritization,19,68,68,0.0000,0.0000,1.0000,0.5588,0.4415,1332,3017,0.8940,0.15,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,StateCoverage,DuplicateRemoval,WeightedTransitionPrioritization,19,68,68,0.0000,0.0000,1.0000,0.5588,0.4415,1332,3017,0.8940,0.13,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,StateCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,8,32,68,0.5789,0.5294,1.0000,0.5588,0.4415,1332,3017,0.7483,0.09,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,StateCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,8,32,68,0.5789,0.5294,1.0000,0.5588,0.4415,1332,3017,0.7483,0.10,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,StateCoverage,SimilarityReduction,CoverageBasedPrioritization,8,32,68,0.5789,0.5294,1.0000,0.5588,0.4415,1332,3017,0.7483,0.29,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,StateCoverage,SimilarityReduction,WeightedTransitionPrioritization,8,32,68,0.5789,0.5294,1.0000,0.5588,0.4415,1332,3017,0.7483,0.14,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,StateCoverage,MutationScorePreserving,CoverageBasedPrioritization,8,32,68,0.5789,0.5294,1.0000,0.5588,0.4415,1332,3017,0.7496,54.35,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,StateCoverage,MutationScorePreserving,WeightedTransitionPrioritization,8,32,68,0.5789,0.5294,1.0000,0.5588,0.4415,1332,3017,0.7496,64.42,0.3220,0.5588,0.5588,0.0000,0.5621,1.0000
TlsClientFSM,TransitionCoverage,DuplicateRemoval,CoverageBasedPrioritization,34,140,140,0.0000,0.0000,1.0000,1.0000,0.7789,2350,3017,0.8777,0.26,0.5557,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionCoverage,DuplicateRemoval,WeightedTransitionPrioritization,34,140,140,0.0000,0.0000,1.0000,1.0000,0.7789,2350,3017,0.8757,0.30,0.5557,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,15,72,140,0.5588,0.4857,1.0000,1.0000,0.7789,2350,3017,0.7228,0.24,0.5557,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,15,72,140,0.5588,0.4857,1.0000,1.0000,0.7789,2350,3017,0.7184,0.27,0.5557,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionCoverage,SimilarityReduction,CoverageBasedPrioritization,13,58,140,0.6176,0.5857,1.0000,0.9412,0.7405,2234,3017,0.7193,0.33,0.5557,0.9412,0.9412,0.0000,0.9412,1.0000
TlsClientFSM,TransitionCoverage,SimilarityReduction,WeightedTransitionPrioritization,13,58,140,0.6176,0.5857,1.0000,0.9412,0.7405,2234,3017,0.7140,0.34,0.5557,0.9412,0.9412,0.0000,0.9412,1.0000
TlsClientFSM,TransitionCoverage,MutationScorePreserving,CoverageBasedPrioritization,15,72,140,0.5588,0.4857,1.0000,1.0000,0.7789,2350,3017,0.7237,76.76,0.5557,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionCoverage,MutationScorePreserving,WeightedTransitionPrioritization,15,72,140,0.5588,0.4857,1.0000,1.0000,0.7789,2350,3017,0.7191,74.35,0.5557,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionPairCoverage,DuplicateRemoval,CoverageBasedPrioritization,61,320,320,0.0000,0.0000,1.0000,1.0000,0.8724,2632,3017,0.8822,1.23,0.9923,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionPairCoverage,DuplicateRemoval,WeightedTransitionPrioritization,61,320,320,0.0000,0.0000,1.0000,1.0000,0.8724,2632,3017,0.8916,1.33,0.9923,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionPairCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,12,66,320,0.8033,0.7937,1.0000,1.0000,0.7978,2407,3017,0.7145,0.72,0.6440,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionPairCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,12,66,320,0.8033,0.7937,1.0000,1.0000,0.7978,2407,3017,0.7145,0.74,0.6440,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionPairCoverage,SimilarityReduction,CoverageBasedPrioritization,10,51,320,0.8361,0.8406,1.0000,0.9118,0.7342,2215,3017,0.7145,0.78,0.6161,0.9118,0.9118,0.0000,0.9118,1.0000
TlsClientFSM,TransitionPairCoverage,SimilarityReduction,WeightedTransitionPrioritization,10,51,320,0.8361,0.8406,1.0000,0.9118,0.7342,2215,3017,0.7145,0.83,0.6161,0.9118,0.9118,0.0000,0.9118,1.0000
TlsClientFSM,TransitionPairCoverage,MutationScorePreserving,CoverageBasedPrioritization,24,130,320,0.6066,0.5938,1.0000,1.0000,0.8724,2632,3017,0.8071,105.61,0.9923,1.0000,1.0000,0.0000,1.0000,1.0000
TlsClientFSM,TransitionPairCoverage,MutationScorePreserving,WeightedTransitionPrioritization,24,130,320,0.6066,0.5938,1.0000,1.0000,0.8724,2632,3017,0.8043,116.78,0.9923,1.0000,1.0000,0.0000,1.0000,1.0000
